steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
17400148	27330	165537.59883618355	8312.0	6620.0	4302.352844665346	17700.0	3340.0	6.460876135681205	2.2336146687545937
17503380	27461	166477.7942724228	7384.0	6380.0	2686.4731113074217	14280.0	5460.0	7.438233401320304	2.229266348680253
17600797	27587	167473.78393149376	9950.0	8160.0	5593.235994385441	22580.0	4500.0	7.2426943014635565	2.2173243018264666
17700114	27701	168465.63513088226	9228.0	8210.0	4591.869142541218	15140.0	3280.0	6.520647024753114	2.22953972390202
17800027	27813	169313.22708964348	5556.0	5010.0	2004.701141483854	8740.0	3020.0	8.005915342580877	2.231786004605527
17900623	27941	170293.42354249954	9214.0	9160.0	5053.791096240964	19000.0	3440.0	6.163714049450428	2.216483997761569
18000940	28073	171366.56366467476	9996.0	8560.0	7058.270483781577	21060.0	680.0	6.747078997518342	2.226172091984752
18101049	28198	172394.87316083908	10732.0	6850.0	7978.694964299195	25480.0	3480.0	6.6220576377333655	2.2286681928317256
18200095	28328	173310.58617281914	6954.0	6600.0	2016.3123655712564	9600.0	4200.0	6.846548733399673	2.2085532325971036
18301028	28446	174259.79998540878	8618.0	7600.0	3755.80676345901	17080.0	4860.0	6.029055602200028	2.205305835917742
18400229	28573	175216.15508317947	9734.0	7450.0	5630.899276906546	19760.0	3560.0	6.567505338061627	2.175981764906804
18500622	28700	176056.97509145737	5436.0	5640.0	1579.4457537025098	7520.0	2000.0	7.148414986361702	2.177612491778886
18600416	28850	176896.45221686363	4876.0	4590.0	1483.1138414385682	7920.0	2840.0	8.052285628690962	2.1673756030988733
18700547	28981	177807.61102223396	7982.0	7940.0	2184.459251673563	13320.0	5820.0	7.180860480689257	2.1631049923729724
18800254	29102	178726.59666657448	8096.0	7450.0	4537.339406402048	18480.0	3120.0	8.145361310407074	2.140677901078301
18901556	29223	179698.601436615	9346.0	9800.0	3543.6710406645316	16460.0	2300.0	7.346616834852098	2.1556529520854633
19001682	29349	180647.1313304901	9922.0	8050.0	5960.592438862283	26320.0	5900.0	7.91750660410984	2.143446400088567
19100477	29471	181501.53201055527	7160.0	7310.0	1490.4436326886778	9580.0	4540.0	7.03049323037703	2.139333487204062
19201528	29609	182430.03992676735	8724.0	8680.0	3678.185543021027	15780.0	4060.0	6.673809732110131	2.1210992984331476
19300064	29734	183324.02638101578	7612.0	7630.0	4174.368348757823	16440.0	2740.0	6.7210577878730176	2.0764261513658684
19400498	29869	184177.36555552483	4806.0	4590.0	2142.9792346170784	7760.0	2080.0	7.414906928410353	2.0674892583161544
19500740	29988	185090.0216832161	8936.0	8320.0	3727.8507361630122	16260.0	4900.0	7.238489095579356	2.025469415427243
19600150	30100	186016.81501173973	8842.0	7330.0	6126.69532093408	18760.0	1100.0	6.261121224066954	2.018195820845816
19700641	30227	186840.02901244164	6318.0	5470.0	1770.936977359098	9300.0	4260.0	7.4395837660852004	2.001922605993387
